City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,53.71,47,40,32.21,CL,1643579868
Mataura,-46.1927,168.8643,68.49,68,48,0.47,NZ,1643580059
Otane,-39.8833,176.6333,68.38,60,100,3.98,NZ,1643580059
Taltal,-25.4,-70.4833,67.98,72,29,7.43,CL,1643579989
Ribeira Grande,38.5167,-28.7,59.13,73,47,26.37,PT,1643580060
Tautira,-17.7333,-149.15,84.22,75,94,11.48,PF,1643580061
Jacareacanga,-6.2222,-57.7528,72.5,95,100,0.98,BR,1643580061
Padang,-0.9492,100.3543,75.25,89,100,3.96,ID,1643580028
Bredasdorp,-34.5322,20.0403,69.28,90,85,10.4,ZA,1643580066
Dikson,73.5069,80.5464,-3.62,93,100,21.07,RU,1643579802
Ushuaia,-54.8,-68.3,47.86,61,75,33.38,AR,1643579890
Naze,28.3667,129.4833,50.92,67,92,19.53,JP,1643580068
Fortuna,40.5982,-124.1573,60.42,70,0,1.99,US,1643579813
Jamestown,42.097,-79.2353,20.08,45,100,3.0,US,1643580069
Zhaotong,27.3167,103.7167,27.27,83,99,5.75,CN,1643580069
Busselton,-33.65,115.3333,64.09,64,90,18.16,AU,1643580070
Vaini,-21.2,-175.2,80.15,77,100,12.71,TO,1643579970
Chui,-33.6971,-53.4616,73.56,68,20,14.29,UY,1643579965
Thompson,55.7435,-97.8558,4.91,92,100,5.97,CA,1643580071
Cabo San Lucas,22.8909,-109.9124,79.61,66,80,1.99,MX,1643580002
Tuktoyaktuk,69.4541,-133.0374,-4.22,96,100,17.13,CA,1643580072
Eureka,40.8021,-124.1637,60.67,76,90,1.99,US,1643580033
Huarmey,-10.0681,-78.1522,72.16,81,100,9.37,PE,1643579790
Marrakesh,31.6315,-8.0083,69.87,32,40,14.97,MA,1643579916
Muros,42.7762,-9.0603,51.84,64,0,5.44,ES,1643579920
Nouadhibou,20.931,-17.0347,66.18,63,100,14.97,MR,1643579814
São João da Barra,-21.6403,-41.0511,76.77,89,9,9.26,BR,1643580077
Hobart,-42.8794,147.3294,69.12,80,75,6.91,AU,1643580008
Oddur,4.1213,43.8894,72.97,26,100,12.37,SO,1643580078
Naro,37.2935,13.7936,43.56,89,0,6.2,IT,1643580079
Butaritari,3.0707,172.7902,82.04,76,17,20.92,KI,1643580080
Avarua,-21.2078,-159.775,73.45,94,75,6.91,CK,1643580081
Palmares do Sul,-30.2578,-50.5097,73.4,66,0,18.54,BR,1643580082
Rikitea,-23.1203,-134.9692,76.55,69,100,4.16,PF,1643580083
Nikolskoye,59.7035,30.7861,27.39,96,100,6.24,RU,1643579993
Kahului,20.8947,-156.47,79.84,69,4,10.0,US,1643579971
Abu Samrah,35.3029,37.1841,43.68,71,95,2.57,SY,1643580085
Cap Malheureux,-19.9842,57.6142,79.29,80,100,3.0,MU,1643580066
Hailar,49.2,119.7,-25.19,100,60,3.69,CN,1643580086
Puerto El Triunfo,13.2833,-88.55,88.54,44,37,3.49,SV,1643580087
Boden,65.8252,21.6886,3.2,95,14,5.03,SE,1643580087
Uusikaupunki,60.8004,21.4084,25.32,87,100,15.79,FI,1643580088
Upernavik,72.7868,-56.1549,-3.71,87,100,6.26,GL,1643580088
Hilo,19.7297,-155.09,78.12,58,83,5.01,US,1643580008
Marawi,7.9986,124.2928,64.65,92,16,1.54,PH,1643580090
Kavaratti,10.5669,72.642,81.23,73,13,8.32,IN,1643580091
Mehamn,71.0357,27.8492,28.31,82,99,5.26,NO,1643580091
Constitución,-35.3333,-72.4167,65.75,67,5,19.95,CL,1643580092
Cherskiy,68.75,161.3,-27.58,99,98,1.05,RU,1643580093
Ahipara,-35.1667,173.1667,74.28,56,97,13.11,NZ,1643579891
Sistranda,63.7256,8.834,32.9,53,87,1.32,NO,1643580094
Ribeira Brava,32.65,-17.0667,65.12,39,1,10.02,PT,1643580095
Mar del Plata,-38.0023,-57.5575,66.87,86,40,18.01,AR,1643579854
Longido,-2.7333,36.6833,67.21,75,98,9.15,TZ,1643580096
Castro,-24.7911,-50.0119,63.91,97,98,8.19,BR,1643580096
Qaanaaq,77.484,-69.3632,-8.9,69,100,5.48,GL,1643580098
Lebu,-37.6167,-73.65,60.28,65,0,20.49,CL,1643580099
Mabaruma,8.2,-59.7833,76.46,77,39,5.95,GY,1643580101
Saskylakh,71.9167,114.0833,-19.66,100,99,2.37,RU,1643580102
Bayanday,53.0661,105.5139,-18.76,100,100,3.24,RU,1643580102
Albany,42.6001,-73.9662,18.84,39,11,4.0,US,1643580002
Gilgit,35.9221,74.3087,28.24,72,83,3.42,PK,1643580103
Waipawa,-41.4122,175.5153,69.93,68,77,7.7,NZ,1643580104
Nizwá,22.9333,57.5333,67.75,43,0,1.79,OM,1643580105
